Code Class,Name,Accession,Normal 1,Normal 2,Tumor 1,Tumor 2
Positive,POS_A(128),nmiR00813.1,4869,4416,10069,8018
Positive,POS_B(32),nmiR00809.1,1427,1171,2809,2289
Positive,POS_C(8),nmiR00811.1,277,213,400,318
Positive,POS_D(2),nmiR00822.1,111,91,262,191
Positive,POS_E(0.5),nmiR00801.1,33,25,56,33
Positive,POS_F(0.125),nmiR00825.1,9,8,24,10
Negative,NEG_B(0),nmiR00828.1,3,8,6,9
Negative,NEG_C(0),nmiR00803.1,11,5,3,12
Negative,NEG_A(0),nmiR00810.1,7,10,5,8
Negative,NEG_F(0),nmiR00805.1,5,7,9,2
Negative,NEG_E(0),nmiR00827.1,16,7,5,5
Negative,NEG_D(0),nmiR00823.1,11,9,17,10
Housekeeping,B2m|0,NM_009735.3,874,698,3591,2377
Housekeeping,Rpl19|0,NM_009078.1,175,180,1099,1103
Housekeeping,Actb|0,NM_007393.1,356,332,1608,1651
Housekeeping,Gapdh|0,NM_008084.1,147,126,348,212
Endogenous1,mmu-miR-18a|0,MIMAT0000528,2,4,5,7
Endogenous1,mmu-miR-880|0,MIMAT0004844,3,6,15,10
Endogenous1,mmu-miR-686|0,MIMAT0003464,3,7,8,4
Endogenous1,mmu-miR-466f-5p|0,MIMAT0004881,8,5,4,5
Endogenous1,mmu-miR-106b|0,MIMAT0000386,30,26,310,106
Endogenous1,mmu-miR-1969|0,MIMAT0009442,3,4,5,1
Endogenous1,mmu-miR-193|0,MIMAT0000223,39,33,81,58
Endogenous1,mmu-miR-216b|0,MIMAT0003729,4,7,20,13
Endogenous1,mmu-miR-291a-5p|0,MIMAT0000367,5,4,10,5
Endogenous1,mmu-miR-718|0,MIMAT0003514,3,5,9,3
Endogenous1,mmu-miR-291b-5p|0,MIMAT0003189,3,5,7,3
Endogenous1,mmu-miR-135b|0,MIMAT0000612,5,2,9,4
Endogenous1,mmu-miR-218|0,MIMAT0000663,2,6,24,5
Endogenous1,mmu-miR-34c|0.007,MIMAT0000381,533,417,1081,853
Endogenous1,mmu-miR-141|0,MIMAT0000153,11,6,28,10
Endogenous1,mmu-miR-15a|0,MIMAT0000526,663,642,2081,847
Endogenous1,mmu-miR-376a|0,MIMAT0000740,283,614,877,509
Endogenous1,mmu-miR-499|0,MIMAT0003482,11,13,25,13
Endogenous1,mmu-miR-696|0,MIMAT0003483,3,7,6,4
Endogenous1,mmu-miR-1896|0,MIMAT0007873,5,4,15,3
Endogenous1,mmu-miR-687|0,MIMAT0003466,2,2,7,2
Endogenous1,mmu-miR-1198|0,MIMAT0005859,8,17,43,22
Endogenous1,mmu-miR-2183|0,MIMAT0011287,18,26,51,30
Endogenous1,mmu-miR-1970|0,MIMAT0009444,9,6,16,9
Endogenous1,mmu-miR-136|0,MIMAT0000148,64,108,107,67
Endogenous1,mmu-let-7b|0,MIMAT0000522,1060,807,6468,3107
Endogenous1,mmu-miR-293|0,MIMAT0000371,8,3,9,4
Endogenous1,mmu-miR-1933-3p|0,MIMAT0009397,7,1,5,2
Endogenous1,mmu-miR-1949|0,MIMAT0009416,7,2,37,17
Endogenous1,mmu-miR-325|0,MIMAT0004640,6,4,9,4
Endogenous1,mmu-miR-340-3p|0,MIMAT0000586,12,8,18,11
Endogenous1,mmu-miR-653|0,MIMAT0004943,5,10,9,2
Endogenous1,mmu-miR-350|0,MIMAT0000605,29,35,246,120
Endogenous1,mmu-miR-182|0,MIMAT0000211,4,4,14,11
Endogenous1,mmu-miR-302d|0,MIMAT0003377,5,3,11,7
